bransje,navn,orgnr,adresse,poststed,stiftet,alder
Rørlegger,ADAMS ISOLERING AS,916667043,Bjerkenesveien 14,1407 VINTERBRO,2016-01-23,10
Rørlegger,ADAQ AS,931569201,Feiringvegen 1542,2093 FEIRING,2023-05-05,3
Rørlegger,ADEKVAT VVS AS,917433429,Myraveien 9,1914 YTRE ENEBAKK,2016-06-20,10
Rørlegger,ADITUS AS,923383433,Svelvikveien 472,3037 DRAMMEN,2019-06-25,7
Rørlegger,AE RØR AS,925071188,"c/o Tim Evensen, Sagvegen 24",2742 GRUA,2020-04-14,6
Rørlegger,AE RØRSERVICE AS,913040651,Vestre Karmøyveg 323,4270 ÅKREHAMN,2013-11-26,13
Rørlegger,AFI VANN OG VARME AS,912348431,Øraveien 2,1630 GAMLE FREDRIKSTAD,2013-07-30,13
Rørlegger,AG-RØR AS,919497076,Slalåmveien 78,1350 LOMMEDALEN,2017-07-02,9
Rørlegger,AGDER RØR OG ANLEGGSERVICE AS,927063972,Rauliveien 23,4407 FLEKKEFJORD,2021-04-20,5
Rørlegger,AGDER RØR OG BAD AS,933741974,Bakhei 7,4708 VENNESLA,2024-06-15,2
Rørlegger,AGDER RØRFORNYING AS,926578812,Ytre Åros 30A,4640 SØGNE,2021-01-28,5
Rørlegger,AGDER TEKNISKE INVESTERINGER AS,929661400,Skrubbedalsveien 1,4848 ARENDAL,2022-07-01,4
Rørlegger,AGF VVS AS,921169523,Meyergaten 20,4836 ARENDAL,2018-06-12,8
Rørlegger,AGN RØR AS,997264282,Bårdslistugguvegen 162,2653 VESTRE GAUSDAL,2011-08-22,15
Rørlegger,AGRIRØR AS,919653124,Brattbergsvegen 97,7730 BEITSTAD,2017-08-09,9
Rørlegger,AH RØR AS,928848256,Hvambsahlveien 23,3618 SKOLLENBORG,2022-02-10,4
Rørlegger,AIR PROSJEKT AS,926627163,"c/o Romuald Rynkiewicz, Moldbrekkene 28",5337 RONG,2021-01-15,5
Rørlegger,AK RØRLEGGERSERVICE AS,924764740,Lierveien 1,1814 ASKIM,2020-03-03,6
Rørlegger,AK TOPCO AS,932041782,Unelsrudlina 82,3039 DRAMMEN,2023-08-22,3
Rørlegger,AKER RØRSERVICE AS,929643143,Halvdan Svartes gate 2A,0268 OSLO,2022-07-09,4
Rørlegger,AKSNES RØR AS,929461746,Jordbærveien 20,3032 DRAMMEN,2022-05-02,4
Rørlegger,AKTIV RØRLEGGER AS,915213774,Skoleberget 11,2742 GRUA,2015-03-30,11
Rørlegger,AKTIV RØRTEKNIKK AS,933370631,Almemoen 75,3516 HØNEFOSS,2024-03-06,2
Rørlegger,AL RØR AS,928524965,Arasvikvegen 480,6694 FOLDFJORDEN,2021-12-16,5
Rørlegger,ALBJERK KONSULT AS,933385140,Klosterhagen 33B,3732 SKIEN,2024-03-01,2
Rørlegger,ALEKSANDER GARE AS,917498490,Drangedalsveien 1271,3760 NESLANDSVATN,2016-07-06,10
Rørlegger,ALEX NORGE AS,931980637,Rødsneset 10,5550 SVEIO,2023-08-17,3
Rørlegger,ALFA ENERGI AS,930128287,Kanalarmen 18B,4033 STAVANGER,2022-10-07,4
Rørlegger,ALFIS BYGG AS,917965668,Liaveien 61,1435 ÅS,2016-09-25,10
Rørlegger,ALL-RØRFORNYING AS,923994750,Skippergata 12,7042 TRONDHEIM,2019-10-08,7
Rørlegger,ALLSERVICE SOLØR AS,917472025,Snekkarbakkvegen 12,2270 FLISA,2016-06-01,10
Rørlegger,ALLSIDIG RØRLEGGERTJENESTE AS,996972151,Stakkevollvegen 50,9010 TROMSØ,2011-05-04,15
Rørlegger,ALLTID MILJØ AS,924861363,Bassengvegen 3A,2006 LØVENSTAD,2020-01-06,6
Rørlegger,ALMEDALS RØRSERVICE AS,924413964,"c/o Jan Terje Almedal, Bakkemonen 34",4619 MOSBY,2020-01-02,6
Rørlegger,ALMLØV BERGVARME AS,927927594,Nordlysveien 49,0489 OSLO,2021-09-18,5
Rørlegger,ALNA RØR AS,927075024,Roald Amundsens gate 39,2004 LILLESTRØM,2021-03-11,5
Rørlegger,ALSAKER BYGG OG RØRLEGGERSERVICE AS,998151309,Wallemsvikveien 30B,5165 LAKSEVÅG,2012-03-08,14
Rørlegger,ALT I RØR AS,935000548,Inndalsveien 1,5063 BERGEN,2024-12-17,2
Rørlegger,ALT INNEN VVS AS,925767492,Snølia 7,1470 LØRENSKOG,2020-09-01,6
Rørlegger,ALT RØRLEGGER & VAKTMESTER AS,925597260,Pedersgata 3,3186 HORTEN,2020-08-30,6
Rørlegger,ALTIVANN RØR OG VENTILASJON AS,998605873,Kanalveien 54,5068 BERGEN,2012-07-04,14
Rørlegger,ALVDAL RØR AS,918359303,Øvre Månavei 84,2560 ALVDAL,2017-01-01,9
Rørlegger,AMATO AS,920437036,Bakliroa 105,3624 LYNGDAL I NUMEDAL,2018-02-01,8
Rørlegger,ANDERS HJELMELAND INVEST AS,923854134,Nesmyren 10,5114 TERTNES,2019-10-17,7
Rørlegger,ANDERSEN AUTORISERT RØRLEGGER AS,999337422,Grønnliveien 33,3474 ÅROS,2012-10-05,14
Rørlegger,ANDERSEN BAD & BOLIG AS,925193860,Tvetenveien 32,0666 OSLO,2020-05-10,6
Rørlegger,ANDERSEN BYGG OG VVS AS,930732419,Øvre Varåsen 57,5210 OS,2023-01-09,3
Rørlegger,ANDERSEN OG LARSEN RØRLEGGERBEDRIFT AS,915223907,Lettvintveien 52D,0487 OSLO,2015-03-23,11
Rørlegger,ANDREAS TORPEN AS,998513588,Askeladdveien 6,2016 FROGNER,2012-08-22,14
Rørlegger,ANGEN SERVICE AS,827422762,Tinngata 118,3660 RJUKAN,2021-06-25,5
Rørlegger,ANKERHAUGEN AS,998482968,"c/o Ragny Bergesen, Gustav Vigelands vei 92",4023 STAVANGER,2012-06-06,14
Rørlegger,ANLI INVEST AS,931005456,Neverveien 9,4310 HOMMERSÅK,2023-02-28,3
Rørlegger,ANTER AS,934016297,Dronning Eufemias gate 16,0191 OSLO,2024-08-14,2
Rørlegger,AQUA RØRFORNYING AS,925568201,Løvåsmyra 6,7093 TILLER,2020-08-11,6
Rørlegger,AQUA RØRSERVICE AS,931007017,Løvåsmyra 6,7093 TILLER,2023-02-06,3
Rørlegger,AQUATEK AS,931080504,Nysæterneset 31A,5415 STORD,2023-02-15,3
Rørlegger,ARA RØR AS,930335967,Erlends vei 24,0669 OSLO,2022-11-03,4
Rørlegger,ARCGRANDAHL AS,933450430,Ordfører Karlsens vei 15C,1715 YVEN,2024-04-05,2
Rørlegger,ARCTIC RØRSERVICE AS,919056916,Nordkappveien 22C,9750 HONNINGSVÅG,2017-04-25,9
Rørlegger,ARCTIC VVS AS,918703071,Botnhågveien 6,9308 FINNSNES,2017-01-24,9
Rørlegger,ARENDAL RØR AS,832306142,Stoaveien 1,4848 ARENDAL,2023-10-01,3
Rørlegger,ARILD ARNTSEN AS,918048766,Mølmesdalsvegen,6947 LAVIK,2016-11-01,10
Rørlegger,ARILDSEN RØRLEGGERSERVICE AS,998268788,Myrholtet 132,5142 FYLLINGSDALEN,2012-01-28,14
Rørlegger,ARKIMEDES AS,925012793,Inndyrsvågen 11,8140 INNDYR,2020-03-14,6
Rørlegger,ARKTEK VVS AS,931913980,Støttumveien 7,1543 VESTBY,2023-06-03,3
Rørlegger,ARNESEN & NYHAVEN AS,822223362,"c/o Annette Arnesen, Tveideveien 339",4760 BIRKELAND,2019-01-07,7
Rørlegger,ARVE LIER OLSEN AS,912270734,Rådyrfaret 24,3962 STATHELLE,2013-07-18,13
Rørlegger,ARVID HANSTAD AS,929706706,Skolegata 4,2335 STANGE,2022-06-16,4
Rørlegger,ARVID MYREN AS,917421358,Elverlivegen 23,7519 ELVARLI,2016-06-01,10
Rørlegger,"AS FRODE STOKKE, VVS-VARME-GASS",917882460,Lierbakkene 83,3425 REISTAD,2016-09-26,10
Rørlegger,AS HJELME VVS,928875628,Apeltunhaugene 32,5238 RÅDAL,2022-02-03,4
Rørlegger,AS TOFT MESTERRØR,917037809,Midtstegen 60,5382 SKOGSVÅG,2016-03-17,10
Rørlegger,ASK VVS AS,828660152,Sofiemyrveien 6A,1412 SOFIEMYR,2022-01-18,4
Rørlegger,ASKE RØR AS,999659691,Bettumveien 183,3178 VÅLE,2013-01-23,13
Rørlegger,ASKER & BÆRUM VVS AS,913065816,Solbråveien 49,1383 ASKER,2014-01-02,12
Rørlegger,ASKER GRUPPEN AS,932947420,Elveveien 2,1394 NESBRU,2024-01-25,2
Rørlegger,ASKER OG BÆRUM RØRLEGGERBEDRIFT AS,929464427,Nes terrasse 33,1394 NESBRU,2022-06-02,4
Rørlegger,ASKER OG RØYKEN RØR AS,913928113,Torsrudveien 19,3430 SPIKKESTAD,2014-06-11,12
Rørlegger,ASKER RØRLEGGERBEDRIFT AS,933296636,Elveveien 2,1394 NESBRU,2024-04-02,2
Rørlegger,ASKER RØRLEGGERMESTER AS,927317451,Bråtenveien 16,3430 SPIKKESTAD,2021-06-02,5
Rørlegger,ASKØY RØRSERVICE AS,925901520,Storebotn 30,5309 KLEPPESTØ,2020-10-19,6
Rørlegger,ASKØY VVS AS,911756986,Kobbevegen 29,5310 HAUGLANDSHELLA,2013-03-20,13
Rørlegger,ASP VVS AS,922411670,Bekkveien 3A,1407 VINTERBRO,2018-12-11,8
Rørlegger,ASPENES RØR AS,930851493,Vestre Lurane 6,5200 OS,2023-01-31,3
Rørlegger,ASSI AS,932388073,"c/o OH Slåke Invest AS, Holterveien 4D",1448 DRØBAK,2023-10-10,3
Rørlegger,AT RØRSERVICE AS,913359313,Othilienborgvegen 53A,7033 TRONDHEIM,2014-01-20,12
Rørlegger,ATECCO AS,924813423,Toverudveien 346C,1930 AURSKOG,2020-02-14,6
Rørlegger,ATI VVS AS,927992523,Skrubbedalsveien 1,4848 ARENDAL,2021-09-15,5
Rørlegger,ATOM RØRLEGGERBEDRIFTS AS,924201746,Borgveien 21,1363 HØVIK,2019-11-28,7
Rørlegger,AUGLA AS,932373009,Ogndalsvegen 1105,7718 STEINKJER,2023-10-08,3
Rørlegger,AUKE RØR AS,813458942,Porsveien 40,1481 HAGAN,2014-01-01,12
Rørlegger,AUNE BYGG & VVS AS,933568512,Sundvorvegen 86,5645 SÆVAREID,2024-05-19,2
Rørlegger,AURDALSBYEN INVEST AS,998502837,Oslovegen 1291,2910 AURDAL,2012-05-15,14
Rørlegger,AURE OG TUSTNA VVS AS,927790394,Espvikvegen 110,6693 MJOSUNDET,2021-09-01,5
Rørlegger,AUREKA AS,931198157,Industriveien 2,4380 HAUGE I DALANE,2023-03-29,3
Rørlegger,AURSTAD VVS AS,920482589,Nordsivegen 129,7732 STEINKJER,2018-02-09,8
Rørlegger,AUT-RØRLEGGER BRØDRENE JOHNSEN AS,922305412,Einar Sundøens vei 10,3531 KROKKLEIVA,2019-02-14,7
Rørlegger,AVERØY VVS AS,934110811,"C/o Ole Alexander Jørgensen, Orbakken 7",6531 AVERØY,2024-08-08,2
Rørlegger,AVLØP 247 AS,932557347,Dalavegen 29,5300 KLEPPESTØ,2023-10-22,3
Rørlegger,AVM BYGG&KVALITET AS,923843531,Sjøkrigsskoleveien 2,5165 LAKSEVÅG,2019-11-06,7
Rørlegger,AVRA RØR AS,911577844,Østensjøveien 15D,0661 OSLO,2013-02-13,13
Rørlegger,AW VVS AS,831812702,Fredensborgveien 56B,0177 OSLO,2023-05-08,3
Rørlegger,AWAT-RØR AS,925382930,Hans Langbachs vei 12,3039 DRAMMEN,2020-07-01,6
Rørlegger,AXOR VVS AS,822995462,Revåveien 20,3070 SANDE I VESTFOLD,2019-05-29,7
Rørlegger,AØS FINANS AS,924329882,"c/o Ander Østmo Stubban, Viktor Baumanns vei 7",7020 TRONDHEIM,2019-12-12,7
Rørlegger,B & T TEKNIKK AS,917473676,Revaugveien 97,1815 ASKIM,2016-06-15,10
Rørlegger,B. SMEDSMO AS,820041992,Liavegen 1472,2686 LOM,2017-11-29,9
Rørlegger,B.R.D MALING AS,913157508,Austaddalsvegen 14,2033 ÅSGREINA,2014-01-20,12
Rørlegger,B&T RØRSERVICE AS,997794893,Krøraveien 7,3535 KRØDEREN,2011-12-17,15
Rørlegger,BAD & KJØKKEN RENOVERING AS,929126386,Strømsveien 223,0668 OSLO,2022-03-28,4
Rørlegger,BAD & RØR AS,929528131,Vipevegen 16,2008 FJERDINGBY,2022-06-30,4
Rørlegger,BAD & RØRSERVICE AS,927810530,Krokstien 4,0672 OSLO,2021-08-31,5
Rørlegger,BAD & VVS AS,929651308,Nedre Åstveit 12,5106 ØVRE ERVIK,2022-07-14,4
Rørlegger,BAD OG RØR AS,923561927,Sofiemyrveien 12,1412 SOFIEMYR,2019-09-18,7
Rørlegger,BADEDESIGN AS,922215472,Tungavegen 38,7047 TRONDHEIM,2019-01-17,7
Rørlegger,BADEROMSELITEN AS,919930772,Lunden 57,4319 SANDNES,2017-10-19,9
Rørlegger,BADEROMSPAKKEN AS,931542672,Hoelsveien 9,1923 SØRUM,2023-05-18,3
Rørlegger,BADEROMSPAKKEN INVEST AS,932618478,Hoelsveien 9,1923 SØRUM,2023-11-08,3
Rørlegger,BAKKEN RØR AS,911889846,"c/o Terje Bakken, Tormod Knutsens veg 2",2070 RÅHOLT,2013-03-25,13
Rørlegger,BAKKENS VVS AS,997417488,Loneveien 195,4642 SØGNE,2011-06-30,15
Rørlegger,BALSFJORD RØRSERVICE AS,834149052,Brattmelveien 5,9050 STORSTEINNES,2024-09-09,2
Rørlegger,BARE RØR & SERVICE AS,997291131,Sidsel Sidsærks vei 28,0956 OSLO,2011-08-23,15
Rørlegger,BARERØR AS,911891530,Vågen 8,8063 VÆRØY,2013-04-18,13
Rørlegger,BARSTRAND AS,999153895,"Inngang sjøgata, Storgaten 48",8200 FAUSKE,2012-11-12,14
Rørlegger,BAS RØR AS,933849708,Mina Beiteplukksvei 155F,1272 OSLO,2024-07-03,2
Rørlegger,BASBERG INVEST AS,923161368,Basbergveien 163,3114 TØNSBERG,2019-07-04,7
Rørlegger,BATHROOM WORKSHOP AS,920735878,Trosterudveien 19,0778 OSLO,2018-02-23,8
Rørlegger,BD RØRSERVICE AS,929651154,Blåstjerneveien 28,1475 FINSTADJORDET,2022-06-08,4
Rørlegger,BEDRE VVS AS,934080203,Inkognitogata 33B,0256 OSLO,2024-09-05,2
Restaurant,0186 BARDRIFT AS,929431650,Markveien 35A,0554 OSLO,2022-06-03,4
Restaurant,2 GODE VENNER AS,924534796,C. J. Hambros plass 5,0164 OSLO,2020-01-20,6
Restaurant,5 BAR AS,919880481,Økernveien 182,0580 OSLO,2018-01-24,8
Restaurant,501 DART & PUB DA,933919943,Storgata 47,2870 DOKKA,2024-05-01,2
Restaurant,7NULL4 AS,915264964,Heggevegen 4,2656 FOLLEBU,2015-03-20,11
Restaurant,8'ERN AS,928177068,"c/o Hilde M. Rødsjø, Tungaveien 78",7130 BREKSTAD,2021-11-10,5
Restaurant,A R EXPERIENCES AS,932581930,"c/o Ahadur Rahman, Nygaten 3",4838 ARENDAL,2023-11-11,3
Restaurant,AC-MARINE AS,913000978,Vrengen 5,4824 BJORBEKK,2013-12-20,13
Restaurant,ADAMS COFFEE AS,925656135,Gamle Stokkavei 1,4313 SANDNES,2020-08-05,6
Restaurant,ADAS BARDRIFT AS,932332647,"c/o Murat Uruç, Steinveien 1",1453 BJØRNEMYR,2023-10-13,3
Restaurant,ADONAI AS,920296165,Sødalsveien 22,4630 KRISTIANSAND S,2018-01-16,8
Restaurant,ADRIATIC BAR OG CATERING AS,820719972,Vågsgata 16A,4306 SANDNES,2018-03-09,8
Restaurant,AGA GRUPPEN AS,933222586,Apotekerveien 20,1653 SELLEBAKK,2024-03-15,2
Restaurant,AGLEN OG LIENS PUB AS,920282911,"c/o Asbjørn Lien, Sanden 28",3264 LARVIK,2018-01-05,8
Restaurant,AHO PUB FORENINGEN,933566501,Maridalsveien 29,0175 OSLO,2024-02-28,2
Restaurant,AIDIA HOLDNING AS,934617495,Vestlisvingen 26,0969 OSLO,2024-11-01,2
Restaurant,AKELEO LATIN BAR AS,925641464,Skjalgs gate 31B,4041 HAFRSFJORD,2020-09-09,6
Restaurant,AL MERI NAUSTET AS,934082419,Stangs gate 2A,3179 ÅSGÅRDSTRAND,2024-08-22,2
Restaurant,ALF NABOLAGSBAR AS,913551125,Darres gate 1,0175 OSLO,2014-04-21,12
Restaurant,ALIBI FREDRIKSTAD AS,922875995,"c/o Viego Regnskap AS, Markens gate 5",4610 KRISTIANSAND S,2019-05-07,7
Restaurant,ALISIA AS,834061392,Gate 1 88,6700 MÅLØY,2024-08-20,2
Restaurant,ALKEMISTEN BAR AS,933276325,Pløens gate 4,0181 OSLO,2024-02-28,2
Restaurant,ALLÉEN AS,932762641,Bygdøy allé 21,0262 OSLO,2023-11-14,3
Restaurant,ANNIGE BAR AS,924779489,Gamle Åslandsvegen 9,4355 KVERNALAND,2020-03-04,6
Restaurant,APOLLON TØNSBERG AS,926572091,Rådhusgaten 4,3126 TØNSBERG,2021-01-08,5
Restaurant,ARCTIC FOOD & DRINKS AS,921668317,Sjøgata 10,9600 HAMMERFEST,2018-10-15,8
Restaurant,ARCTIC NIGHTLIFE AS,925125830,Storgata 68A,9008 TROMSØ,2020-05-07,6
Restaurant,AS IRISHMAN,914754445,Høleberggata 9,4006 STAVANGER,2014-12-11,12
Restaurant,ASIAN KARAOKE OG BAR AS,926335529,Storgata 51,3256 LARVIK,2020-12-01,6
Restaurant,ASKIM CORNER BAR DA,818302312,Rådhusgata 21,1830 ASKIM,2016-11-11,10
Restaurant,BABAR INVEST AS,917583080,Stortingsgata 8,0161 OSLO,2016-06-20,10
Restaurant,BACKYARD AS,934082109,Storgata 18,4340 BRYNE,2024-09-09,2
Restaurant,BALLROOM HAMAR AS,914066867,Torggata 74,2317 HAMAR,2014-08-15,12
Restaurant,BALUBA UTELIVSDRIFT AS,930452858,Torggata 27,8400 SORTLAND,2022-11-23,4
Restaurant,BANKEN PUB AS,929067304,Langgata 52,4306 SANDNES,2022-03-28,4
Restaurant,BANKERS VIDDA AS,925136719,Fitnodatgeaidnu 35,9730 KARASJOK,2020-05-18,6
Restaurant,BAR 1903 AS,933007065,Stadion 1,1671 KRÅKERØY,2024-01-11,2
Restaurant,BAR 33 AS,927601885,Vågsgata 33,4306 SANDNES,2021-07-29,5
Restaurant,BAR BAHALIM AS,829035502,Jernbanetorget 1,1767 HALDEN,2022-02-24,4
Restaurant,BAR CIRCUS AS,926039741,Olav Tryggvasons gate 27,7011 TRONDHEIM,2020-10-21,6
Restaurant,BAR POLAR AS,814196542,Sandakerveien 72C,0484 OSLO,2014-09-10,12
Restaurant,BAR-DUS AS,915288928,Ferjemannsveien 10,7042 TRONDHEIM,2015-04-14,11
Restaurant,BARCODE PUBDRIFT AS,918146377,Dronning Eufemias gate 75,0194 OSLO,2016-11-25,10
Restaurant,BARCODE STREET FOOD AS,927600218,Dronning Eufemias gate 14,0191 OSLO,2021-07-06,5
Restaurant,BARE BLÅ AS,925125431,Rådhusgata 20,8400 SORTLAND,2020-05-15,6
Restaurant,BARE HYGGELIG AS,932950707,Ginavegen 19,5531 HAUGESUND,2024-01-17,2
Restaurant,BARE SOLSKINN AS,927826933,Framnesveien 7,3222 SANDEFJORD,2021-08-27,5
Restaurant,BARISTA-DAMENE AS,916815999,Jens Wilhelmsens gate 1,1671 KRÅKERØY,2016-02-17,10
Restaurant,BARKADEN BRAGERNES AS,933736067,Bragernes torg 10,3017 DRAMMEN,2024-06-12,2
Restaurant,BARKADEN DRAMMEN AS,927430762,Grønland 53,3045 DRAMMEN,2021-05-20,5
Restaurant,BARKADEN FREDRIKSTAD AS,933720993,Storgata 4,1607 FREDRIKSTAD,2024-05-28,2
Restaurant,BARKADEN SKIEN AS,920769926,Langbrygga 5B,3724 SKIEN,2018-04-16,8
Restaurant,BARRIKK AS,925148261,Teaterplassen 1,4836 ARENDAL,2020-06-12,6
Restaurant,BARVÆRSTE AS,932169851,Jens Wilhelmsens gate 7,1671 KRÅKERØY,2023-09-18,3
Restaurant,BEITO BAR OG EVENT DRIFT AS,915786561,Bygdinvegen 3787,2953 BEITOSTØLEN,2015-07-20,11
Restaurant,BEKKIS BAR AS,926032917,Torget 1,4340 BRYNE,2020-10-30,6
Restaurant,BELLA STAVANGER AS,927657856,Kirkegata 44,4006 STAVANGER,2021-08-02,5
Restaurant,BGFEM AS,834782332,Kong Oscars gate 12,5017 BERGEN,2024-11-06,2
Restaurant,BIRKELAND PUB AS,827043532,Strøget 35,4760 BIRKELAND,2021-04-12,5
Restaurant,BLACKOUT AS,815620372,Idrettsveien 6B,9700 LAKSELV,2015-04-25,11
Restaurant,BLUE NIGHT AS,914215889,Rådhusgata 4,0151 OSLO,2014-09-17,12
Restaurant,BLÅVEIS STAVANGER AS,933827798,Søregata 22,4006 STAVANGER,2024-07-16,2
Restaurant,BOBA TEA AS,927906546,Haakon VIIs gate 9,7040 TRONDHEIM,2021-08-29,5
Restaurant,BREWERY CASH & CARRY AS,915351301,Regnbueveien 6,1405 LANGHUS,2015-04-14,11
Restaurant,BRIAN BORU AS,921425635,Kong Oscars gate 16,5017 BERGEN,2018-08-28,8
Restaurant,BRIAN BORU STAVANGER AS,831836792,Skagen 15,4006 STAVANGER,2023-07-13,3
Restaurant,BRYGGA SPORTSBAR AS,921400551,Sjøgata 30,6065 ULSTEINVIK,2018-08-28,8
Restaurant,BRYGGERIET PUB OG KJØKKEN AS,917182019,"c/o Brasseri Cava AS, Carl Johans gate 5",7010 TRONDHEIM,2016-05-02,10
Restaurant,BRYGGJEHUSET AS,932509687,Sørsidevegen 35,6876 SKJOLDEN,2023-11-10,3
Restaurant,BRYGGMESTER BOB AS,914792231,Markveien 57,0550 OSLO,2014-12-05,12
Restaurant,BRØR MAT OG BRYGGERI AS,926907786,Halkjelsgata 16,6100 VOLDA,2021-03-13,5
Restaurant,BRAA AS,929573714,Abel Meyers gate 3A,7800 NAMSOS,2022-05-28,4
Restaurant,BS PUB & KULTUR AS,998061962,Kjøpmannsgata 38,7500 STJØRDAL,2012-02-27,14
Restaurant,BUBBLE TEA TROMSØ AS,928331563,Storgata 104,9008 TROMSØ,2021-11-16,5
Restaurant,BUDDY'S PUB DA,996495469,Sam Eydes gate 93,3660 RJUKAN,2011-05-12,15
Restaurant,BUEN BAR AS,929160800,Olaf Schous vei 2,0572 OSLO,2022-04-11,4
Restaurant,BYDELSKROENE KAMPEN AS,919071745,Husvikholmen 10,1443 DRØBAK,2017-05-10,9
Restaurant,BYGDAPØBBEN AS,927129280,Sagvågsbrekko 6,5410 SAGVÅG,2021-04-30,5
Restaurant,BYGG 121 AS,917556865,Kommandørkaptein Klincks vei 1,3183 HORTEN,2016-06-01,10
Restaurant,BYRÅET AS,929029704,Solhauggata 12D,0565 OSLO,2022-01-30,4
Restaurant,BØMLO UTELIV AS,917253927,Svortlandsvegen 9,5430 BREMNES,2016-04-20,10
Restaurant,CAFE C STAVANGER AS,812387502,Nygata 11,4006 STAVANGER,2013-08-07,13
Restaurant,CAFÉ GRENSEN AS,932918854,Grensen 8,0159 OSLO,2024-01-01,2
Restaurant,CASH BAR AS,930148385,Havnegata 16,8900 BRØNNØYSUND,2022-10-18,4
Restaurant,CHECKPOINT CLUB AS,915521355,Nedre Strandgate 14,4005 STAVANGER,2015-04-29,11
Restaurant,CIPRESA AS,997234189,Cora Sandels gate 4,9008 TROMSØ,2011-06-20,15
Restaurant,CLUB HÅKON AS,934673034,Håkonsgaten 27,5015 BERGEN,2024-12-09,2
Restaurant,COBEE BRUMUNDDAL AS,932149265,Nygata 2,2380 BRUMUNDDAL,2023-08-21,3
Restaurant,COBRA LÅVEN AS,999184707,Bruråket 1,7346 OPPDAL,2012-11-14,14
Restaurant,CORNERBAREN AS,918339086,Kong Christian Frederiks plass 4,5006 BERGEN,2016-12-21,10
Restaurant,CORNERLARVIK AS,934583752,Storgata 43,3256 LARVIK,2024-11-22,2
Restaurant,COUSINS CUSINE AS,916729332,Storgata 25,0184 OSLO,2016-01-08,10
Restaurant,CRAVING NUTRITION AS,827111252,Strandgaten 78,5004 BERGEN,2021-04-23,5
Restaurant,CREAMY AS,916612788,Fjeldhøikroken 11,1061 OSLO,2016-01-05,10
Restaurant,DAMPEN PUB AS,818176112,Sentrumsgata 42,6893 VIK I SOGN,2016-11-28,10
Restaurant,DANDUG AS,998729858,Bryggegata 6,4514 MANDAL,2012-08-13,14
Restaurant,DEN GRIMME ÆLLING AS,921379420,Karl Johans gate 13,0154 OSLO,2018-08-14,8
Restaurant,DEN LILLE ANDEVINGE AS,916799314,"c/o Kjetil Risan, Ole Knudsens vei 3",4817 HIS,2016-02-02,10
Restaurant,DICKENS PUB AS,914737397,Øvre Torggate 8,3017 DRAMMEN,2014-12-09,12
Restaurant,DIRTY FLOOR AS,927040824,Luramyrveien 53,4313 SANDNES,2021-03-25,5
Restaurant,DISTRIKT 23 AS,917597472,Grønnegata 62,2317 HAMAR,2016-07-19,10
Restaurant,DOGAN SPORTSBAR AS,919776439,Skolevegen 6,2270 FLISA,2017-09-28,9
Restaurant,DOWNTOWN PUB AS,930375535,H. Halvorsens vei 27A,1734 HAFSLUNDSØY,2022-11-01,4
Restaurant,DRAGEN PUB AS,917465886,Brogata 17,1608 FREDRIKSTAD,2016-06-20,10
Restaurant,DRAMMEN BARDRIFT AS,914830206,Eliesons gate 4,3044 DRAMMEN,2014-12-03,12
Restaurant,DROLLEHÅLÅ AS,999184855,Østre Ring 50,4015 STAVANGER,2012-11-15,14
Restaurant,DRONNINGENS PUB & KULTURSCENE AS,832463582,Dronningens gate 8,4610 KRISTIANSAND S,2023-10-31,3
Restaurant,DRØBAK PUBDRIFT AS,915258220,Seiersten Sentrum 3,1443 DRØBAK,2015-03-05,11
Restaurant,DRØSEN KAFFIBAR AS,925758957,Jadarvegen 3B,4365 NÆRBØ,2020-10-08,6
Restaurant,DRØØS AS,926673831,Langgata 48,4306 SANDNES,2021-01-06,5
Restaurant,DYRNESVAAGEN INNOVASJON AS,917151156,Nordstrandsveien 26,6570 SMØLA,2016-04-27,10
Restaurant,E & C HELGELAND AS,998480469,Jernbanegata 16,8622 MO I RANA,2012-05-21,14
Restaurant,E & M RESTORANTS AS,913517180,"Seilmakerfruens Kro, Lyngørsida",4910 LYNGØR,2014-04-10,12
Restaurant,EDVARTS PUBDRIFT AS,922395969,Pellygata 78,1706 SARPSBORG,2019-03-01,7
Restaurant,EIGHTEEN AS,923208844,St. Marie gate 82,1706 SARPSBORG,2019-06-25,7
Restaurant,ELGELG AS,928869717,Glommengata 69,2211 KONGSVINGER,2022-01-06,4
Restaurant,ELLEVEFØRTIFIRA ANS,930794864,Melingsgarden 24,4180 KVITSØY,2023-01-01,3
Restaurant,ELVEN AS,934240987,Brogaten 7,4400 FLEKKEFJORD,2024-09-23,2
Restaurant,EMIL- OG SMØREKOPPENKJELLEREN,919857854,"Sentralbygg 1, Gløshaugen",7034 TRONDHEIM,2017-11-13,9
Restaurant,ENERHAUGEN BAR AS,930751766,Grønlandsleiret 39,0190 OSLO,2023-01-01,3
Restaurant,EPD II AS,924764627,Storgaten 18,4370 EGERSUND,2020-03-01,6
Restaurant,EPD III AS,933036855,Strandgaten 76,4370 EGERSUND,2024-02-11,2
Restaurant,ERLIK KAFFE AS,917762953,Prinsens gate 2,0152 OSLO,2016-08-23,10
Restaurant,ESENCIA AS,923802932,Rikard Kaarbøs gate 10,9405 HARSTAD,2019-10-21,7
Restaurant,ESKAPADER AS,928505731,"c/o Nicolai Engesvik, Toftes gate 20B",0556 OSLO,2021-12-01,5
